CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-04T21:49:02","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2026-07-04T11:30:18.433728","10.86012152","0.18365547","34.2506","260.9599","216.4943","129.5496","0","U","5","999","44516","0.00052871638000","0.00000428","0.0000000000000","8613.481","132.595","3817.259","653.433","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","5270487","332892546","0 VANGUARD 1","1 00005U 58002B   26185.47938002  .00000428  00000-0  52872-3 0  9996","2 00005  34.2506 260.9599 1836555 216.4943 129.5496 10.86012152445161"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2026-07-04T22:10:03.670176","11.90562631","0.14450259","32.8682","18.0126","157.8731","209.1224","0","U","11","999","53758","0.00102865230000","0.00001970","0.0000000000000","8101.529","120.951","2894.086","552.702","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","5271575","333061744","0 VANGUARD 2","1 00011U 59001A   26185.92365359  .00001970  00000-0  10287-2 0  9998","2 00011  32.8682  18.0126 1445026 157.8731 209.1224 11.90562631537587"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2026-07-05T05:48:12.733056","11.48623919","0.16463672","32.8997","161.5401","200.8646","151.6273","0","U","12","999","53340","0.00014655924000","0.00000282","0.0000000000000","8297.551","125.367","3285.498","553.335","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","5271575","333061245","0 VANGUARD R/B","1 00012U 59001B   26186.24181404  .00000282  00000-0  14656-3 0  9992","2 00012  32.8997 161.5401 1646367 200.8646 151.6273 11.48623919533404"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-04T21:49:02","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2026-07-04T11:42:00.693792","10.49601945","0.20170392","34.2632","255.0534","193.5976","160.1237","0","U","16","999","69073","0.00034520738000","0.00000256","0.0000000000000","8811.546","137.195","4210.734","656.087","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","5270487","332893047","0 VANGUARD R/B","1 00016U 58002A   26185.48750803  .00000256  00000-0  34521-3 0  9990","2 00016  34.2632 255.0534 2017039 193.5976 160.1237 10.49601945690739"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2026-07-05T01:21:54.777600","11.61983278","0.16374081","33.3382","202.5830","149.4067","221.3206","0","U","20","999","48669","0.00023337314000","0.00000588","0.0000000000000","8233.831","123.926","3203.910","507.481","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","5271575","333061246","0 VANGUARD 3","1 00020U 59007A   26186.05688400  .00000588  00000-0  23337-3 0  9999","2 00020  33.3382 202.5830 1637408 149.4067 221.3206 11.61983278486691"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2026-07-04T23:38:08.809152","15.29233381","0.00777839","50.2436","12.0871","196.9015","162.9352","0","U","22","999","80307","0.00068159444000","0.00021194","0.0000000000000","6856.240","94.165","531.435","424.774","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","5271575","333061746","0 EXPLORER 7","1 00022U 59009A   26185.98482418  .00021194  00000-0  68159-3 0  9992","2 00022  50.2436  12.0871 0077784 196.9015 162.9352 15.29233381803072"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-04T21:49:02","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2026-07-04T15:11:54.421728","14.78798572","0.00222254","48.3787","301.7351","342.5481","17.4667","0","U","29","999","54471","0.00013133774000","0.00000764","0.0000000000000","7011.256","97.376","648.704","617.538","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","5270487","332892549","0 TIROS 1","1 00029U 60002B   26185.63326877  .00000764  00000-0  13134-3 0  9995","2 00029  48.3787 301.7351 0022225 342.5481  17.4667 14.78798572544710"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2026-07-04T17:05:19.445568","14.35987210","0.02444826","66.6948","313.8492","147.8497","213.7785","0","U","45","999","38256","0.00018939598000","0.00000668","0.0000000000000","7149.925","100.279","946.593","596.986","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","5271575","333061747","0 TRANSIT 2A","1 00045U 60007A   26185.71203062  .00000668  00000-0  18940-3 0  9990","2 00045  66.6948 313.8492 0244483 147.8497 213.7785 14.35987210382562"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","SOLRAD 1 (GREB)","1960-007B","EARTH","TEME","UTC","SGP4","2026-07-04T23:47:34.698912","14.54899618","0.02022832","66.6863","179.6987","279.6128","78.2182","0","U","46","999","45959","0.00018698724000","0.00000938","0.0000000000000","7087.828","98.976","853.068","566.318","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","5271575","333061248","0 SOLRAD 1 (GREB)","1 00046U 60007B   26185.99137383  .00000938  00000-0  18699-3 0  9994","2 00046  66.6863 179.6987 0202283 279.6128  78.2182 14.54899618459591"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-07-05T10:46:18","18 SPCS","THOR ABLESTAR R/B","1960-007C","EARTH","TEME","UTC","SGP4","2026-07-04T23:06:14.017536","14.45330909","0.02121952","66.6656","358.8032","125.9796","236.1194","0","U","47","999","45337","0.00022346615000","0.00000927","0.0000000000000","7119.076","99.631","892.005","589.878","ROCKET BODY","LARGE","US","1960-06-22","AFETR","","5271575","333061748","0 THOR ABLESTAR R/B","1 00047U 60007C   26185.96266224  .00000927  00000-0  22347-3 0  9992","2 00047  66.6656 358.8032 0212195 125.9796 236.1194 14.45330909453372"
