satno,cosparId,name,objectClass,mass_kg,xSectAvg_m2,radius_m,shape,found
11,1959-001A,Vanguard 2,Payload,9.71,0.2043,0.255011,Sphere,1
16,1958-002A,Grand Central (ALB) (Vanguard),Rocket Body,22.79,1.0170906215996955,0.56899,Cyl,1
20,1959-007A,Vanguard 3,Payload,67.39,1.1035236894815847,0.592674,Sphere + Cyl,1
12,1959-001B,Grand Central (ALB) (Vanguard),Rocket Body,22.79,1.0170906215996955,0.56899,Cyl,1
5,1958-002B,Vanguard 1,Payload,1.46,0.020106192982974676,0.08,Sphere,1
900,1964-063C,Calsphere 1,Payload,0.99,0.10178760197630929,0.18,Sphere,1
902,1964-063E,Calsphere 2,Payload,9.71,0.1018,0.180011,Sphere,1
669,1963-038A,Able-Star (Thor-Ablestar),Rocket Body,445.99,6.047565858160351,1.387444,Cyl,1
733,1964-002A,Agena B (Thor-Agena D),Rocket Body,600.0,8.305585577928015,1.625961,Cyl + 1 Nozzle,1
340,1962-029A,Telstar 1,Payload,76.31,0.5809,0.430007,Sphere,1
813,1964-031B,DSAP-1 F9 (P-35 9,Payload,50.0,0.37699111843077515,0.34641,Cyl,1
731,1964-001E,Greb 5,Payload,29.0,0.1963,0.249968,Sphere,1
979,1965-004B,Altair 1 (Delta C),Rocket Body,60.0,0.6872233929727672,0.467707,Cyl,1
369,1962-039A,P-35B,Payload,91.0,0.35174056747754723,0.334608,Cyl,1
735,1964-002C,OPS 3367B,Payload,128.84,0.37699111843077515,0.34641,Cyl,1
515,1962-068B,Altair 1 (Delta B),Rocket Body,23.79,0.6872233929727672,0.467707,Cyl,1
46,1960-007B,Greb,Payload,18.83,0.2043,0.255011,Sphere,1
729,1964-001C,Secor 1 (EGRS 1),Payload,17.84,0.10360000000000003,0.181595,Box,1
737,1964-003A,Relay 2,Payload,77.3,0.6523667354081464,0.455692,Oct Cyl,1
965,1964-083D,"Transit 5B-5 (NNS 30020, OPS 6582)",Payload,50.8,7.565123393662831,1.55179,Oct Cyl + 4 Pan + 1 Rod,1
704,1963-049B,Transit 5B-2,Payload,74.33,0.3337942194439155,0.32596,Oct Cyl + Cyl + 1 Rod,1
716,1963-054A,Tiros VIII,Payload,117.94,0.9202117581446203,0.541214,Cyl,1
45,1960-007A,Transit 2A,Payload,100.1,0.6504,0.455004,Sphere,1
738,1964-003B,Altair 1 (Delta B),Rocket Body,23.79,0.6872233929727672,0.467707,Cyl,1
202,1961-031A,Transit 4B,Payload,85.23,1.142872137467797,0.603148,Cyl,1
397,1962-047A,Tiros VI,Payload,125.87,0.9202117581446203,0.541214,Cyl,1
204,1961-031C,Able-Star (Thor-Ablestar),Rocket Body,445.99,6.047565858160351,1.387444,Cyl,1
506,1962-070A,Explorer 16,Payload,99.9,1.0707725860679111,0.583813,Cyl,1
1001,1965-008A,Transtage 3 (Titan IIIA),Rocket Body,336.0,8.64330678818892,1.658689,Cyl + 2 Nozzle,1
162,1961-017A,Tiros III,Payload,127.85,0.8529816753577987,0.521069,Cyl,1
589,1963-014D,DASH 1,Payload,1.0,4.523893421169302,1.2,Sphere,1
118,1961-015C,Able-Star (Thor-Ablestar),Rocket Body,445.99,6.047565858160351,1.387444,Cyl,1
622,1963-030A,Midas 7 + Atlas LV-3A Agena B stage 2 (Agena B),Payload,1540.0,11.47466716723672,1.911151,Cyl + Cone,1
58,1960-013A,Courier 1B,Payload,227.95,1.3273,0.649994,Sphere,1
226,1962-002A,Tiros IV,Payload,127.85,0.8529816753577987,0.521069,Cyl,1
309,1962-025A,Tiros V,Payload,127.85,0.9202117581446203,0.541214,Cyl,1
932,1964-076B,Explorer 25,Payload,39.64,0.4113716694115407,0.361861,Poly,1
893,1964-063A,Able-Star (Thor-Ablestar),Rocket Body,445.99,6.047565858160351,1.387444,Cyl,1
575,1963-013B,Altair 1 (Delta B),Rocket Body,23.79,0.6950773746067417,0.470372,Cyl,1
424,1962-049A,Alouette 1,Payload,143.41,0.7842123182966569,0.499622,Ell,1
1314,1965-027A,Snapshot + Atlas SLV-3 Agena D stage 2 fragmentation debris,Payload Fragmentation Debris,,,,,1
205,1961-031B,TRAAC,Payload,108.03,1.322649777069473,0.648855,Cyl + Ell,1
1245,1965-016J,Agena B (Thor-Agena D),Rocket Body,600.0,8.305585577928015,1.625961,Cyl + 1 Nozzle,1
705,1963-049C,Transit 5E-3,Payload,52.53,0.891860044024512,0.532811,Oct Cyl + 4 Pan,1
809,1964-026D,Altair 2 (Scout X-4),Rocket Body,23.79,0.6872233929727672,0.467707,Cyl,1
1002,1965-008C,LES 1,Payload,158.0,0.4113716694115407,0.361861,Poly,1
29,1960-002B,Tiros I,Payload,118.93,0.8529816753577987,0.521069,Cyl,1
22,1959-009A,Explorer 7,Payload,41.13,0.4536459791783662,0.38,Cone + Cone,1
721,1963-053B,Altair 2 (Scout X-4),Rocket Body,68.0,0.6872233929727672,0.467707,Cyl,1
670,1963-038B,Transit 5B-1,Payload,69.38,0.33396820298404184,0.326045,Oct Cyl + 1 Rod,1
1272,1965-016H,Dodecapole 1,Payload,4.0,0.0314,0.099975,Sphere + 12 Rod,1
635,1963-030B,ERS 9,Payload,0.79,0.0323606797749979,0.101492,Trap Box,1
271,1962-010A,Midas 5,Payload,1982.16,11.47466716723672,1.911151,Cyl,1
1208,1965-016E,Secor 3 (EGRS 3),Payload,17.84,0.105,0.182818,Box,1
829,1964-038A,Elektron 3,Payload,346.88,2.7175785713302236,0.930071,Cyl + 6 Pan,1
746,1964-006A,Elektron 1,Payload,326.07,2.7175785713302236,0.930071,Cyl + 6 Pan,1
741,1964-004B,Agena B (Thor-Agena B),Rocket Body,705.0,8.305585577928015,1.625961,Cyl + 1 Nozzle,1
897,1964-063B,"Transit 5B-4 (NNS 30010, OPS 5798)",Payload,50.8,7.565123393662831,1.55179,Oct Cyl + 4 Pan + 1 Rod,1
907,1964-064B,Altair 2 (Scout X-4),Rocket Body,23.79,0.6872233929727672,0.467707,Cyl,1
1359,1965-034A,Transtage 6 (Titan IIIA),Rocket Body,2973.24,18.357896671251957,2.417333,Cyl + 2 Nozzle,1
953,1964-083A,Able-Star (Thor-Ablestar),Rocket Body,600.0,6.047565858160351,1.387444,Cyl,1
871,1964-051B,Altair 2 (Scout X-4),Rocket Body,23.79,0.6872233929727672,0.467707,Cyl,1
47,1960-007C,Able-Star (Thor-Ablestar),Rocket Body,445.99,6.047565858160351,1.387444,Cyl,1
876,1964-053A,Cosmos-44,Payload,1250.0,5.717698629533423,1.349074,Cyl + 2 Pan,1
163,1961-018A,Midas 3,Payload,2185.73,11.47466716723672,1.911151,Cyl,1
107,1961-013A,Explorer 11,Payload,36.67,0.29452431127404316,0.306186,Cyl,1
734,1964-002B,OPS 3367A,Payload,128.84,0.37699111843077515,0.34641,Cyl,1
933,1964-076C,Altair 2 (Scout X-4),Rocket Body,33.0,0.6872233929727672,0.467707,Cyl,1
117,1961-015B,Injun 1 - Solrad 3,Payload,40.63,0.4626387881492669,0.383748,Sphere + Cyl,1
877,1964-053B,Vostok 8A92M-2 (Vostok SL-3 (A-1)),Rocket Body,1427.16,10.414379646650165,1.820714,Cyl,1
1292,1965-016C,GGSE 3,Payload,59.0,2.5155,0.894823,Sphere + 3 Ant,1
